Accession	Taxonomy
JF934729.1.1725	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Echinocephalus overstreeti
DQ094173.1.1773	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Loa loa (eye worm)
DQ103704.1.1897	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Onchocercidae sp. WB-2005
DQ094172.1.1738	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Ascarophis arctica
DQ118535.1.1750	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Anguillicola crassus
DQ094171.1.1751	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Acanthocheilonema viteae
DQ094175.1.1684	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Setaria digitata
DQ442666.1.1676	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Procamallanus pintoi
DQ442674.1.1705	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Philometra sp. MW-2006
DQ503458.1.1831	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Thelazia lacrymalis
DQ442669.1.1744	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Skrjabillanus scardinii
DQ442677.1.1685	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Philometra ovata
DQ442662.1.1673	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Camallanus cotti
DQ442670.1.1670	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Philonema oncorhynchi
DQ442678.1.1661	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Micropleura australiensis
DQ494195.1.1716	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Spirocamallanus rarus
DQ531723.1.1746	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Dipetalonema sp. YQ-2006
DQ442665.1.1675	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Procamallanus pacificus
DQ442673.1.1787	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Dentiphilometra sp. MW-2006
DQ503457.1.1744	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Dracunculus sp. V3104
DQ442660.1.1649	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Neoascarophis macrouri
DQ442668.1.1764	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Molnaria intestinalis
DQ442676.1.1683	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Philometroides sanguineus
DQ442659.1.1653	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Rhabdochona denudata
DQ442667.1.1673	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Procamallanus rebecae
DQ442675.1.1684	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Philometra cyprinirutili
DQ503459.1.1753	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Physaloptera turgida
DQ094174.1.1774	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Onchocerca cervicalis
DQ442664.1.1673	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Camallanus sp. MW-2006
DQ442672.1.1782	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Alinema amazonicum
DQ490223.1.1671	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Anguillicola crassus
DQ503464.1.1703	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Spinitectus carolini
DQ442663.1.1673	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Camallanus lacustris
DQ442671.1.1718	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Nilonema senticosum
DQ503463.1.1777	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Camallanus oxycephalus
LK872896.1361.2716	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Ascaris lumbricoides (common roundworm)
HM067977.1.1773	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Streptopharagus sp. JSL-2010
HM067978.1.1771	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Physaloptera sp. JSL-2010
HM566089.1.1710	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Mexiconema cichlasomae
HM545908.1.1426	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Procamallanus sigani
JF803914.1.1667	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Procamallanus fulvidraconis
JF803917.1.1920	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Esocinema bohemicum
JF803929.1.1739	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Philometra ocularis
JF803934.1.1667	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Procamallanus laeviconchus
JF803939.1.1705	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Caranginema americanum
JF803942.1.1734	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Philometra diplectri
JF803945.1.1739	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Philometra lati
JF803912.1.1656	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Spirocamallanus rarus
JF803915.1.1666	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Camallanus hypophthalmichthys
JF803947.1.1759	Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Spirurida;Mexiconema africanum
